Artist,Instruments,First Year Active,Last Year Active,Genres,Labels,Listeners on LastFM,Listeners on spotify,Most popular song listenings on Spotify,Scrobbles,Deezer fans number,Latest Release,Born,Died,Last FM,Wiki,Deezer,Spotify
Mary Lou Williams,Piano,1920,1981,"Jazz, gospel, swing, third stream, bebop","Brunswick, Decca, Asch, Folkways, Victor, King, Atlantic, Circle, Vogue, Pablo",82300,228558,7027286,448100,1847,"Top 70 Classics - The Very Best of Mary Lou Williams, Vol. 2",8 May 1910,28 May 1981,https://www.last.fm/music/Mary+Lou+Williams,https://en.wikipedia.org/wiki/Mary_Lou_Williams,https://www.deezer.com/us/artist/57542,https://open.spotify.com/artist/6hrEc1XqVcGLK0Di6zVADR
Count Basie,"Piano, organ",1924,1984,"Jazz, swing, big band, piano blues",,520900,3620196,320301792,4900000,67555,One O'clock Boogie,21 August 1904,26 April 1984,https://www.last.fm/music/Count+Basie,https://en.wikipedia.org/wiki/Count_Basie,https://www.deezer.com/us/artist/7306,https://open.spotify.com/artist/2jFZlvIea42ZvcCw4OeEdA
Art Tatum,Piano,Mid-1920s,1956,"Jazz, stride","Brunswick, Decca, Capitol, Clef, Verve",305400,381134,10929681,3000000,15518,Sleepless Times,13 October 1909,5 November 1956,https://www.last.fm/music/Art+Tatum,https://en.wikipedia.org/wiki/Art_Tatum,https://www.deezer.com/us/artist/57510,https://open.spotify.com/artist/3DtSOCXYU6o4EV0K1NgIKq
Gil Evans,Piano,1933,1988,"Jazz, third stream, cool jazz, modal jazz, jazz fusion, free jazz","Prestige, World Pacific, Impulse!, RCA, Verve, Columbia, King, EmArcy",56000,47101,957210,386800,4095,Back To Black And White,13 May 1912,20 March 1988,https://www.last.fm/music/Gil+Evans,https://en.wikipedia.org/wiki/Gil_Evans,https://www.deezer.com/us/artist/13601,https://open.spotify.com/artist/7g9DeYASD3RzlT4kDchsQZ
Sun Ra,Piano organ keyboards Minimoog celesta percussion vocals,1934,1993,"Avant-garde jazz, free jazz, jazz fusion, experimental, bebop, space music, [1]","El Saturn Records, Impulse!, MPS, ESP-Disk, Black Saint, A&M, Leo, Rounder",301000,206410,2677604,5500000,12224,Swirling,22 May 1914,30 May 1993,https://www.last.fm/music/Sun+Ra,https://en.wikipedia.org/wiki/Sun_Ra,https://www.deezer.com/us/artist/9317,https://open.spotify.com/artist/0tIODqvzGUoEaK26rK4pvX
Tommy Flanagan,Piano,1940s,2001,"Bebop, hard bop, mainstream jazz",,150800,257447,8283200,880700,2645,SUPER SESSION (Remaster),16 March 1930,16 November 2001,https://www.last.fm/music/Tommy+Flanagan,https://en.wikipedia.org/wiki/Tommy_Flanagan,https://www.deezer.com/us/artist/75588,https://open.spotify.com/artist/6dUZplQfg5blo0h9HiJ94d
Thelonious Monk,Piano,1940s,1973,"Jazz, cool jazz, bebop, hard bop","Blue Note, Prestige, Riverside, Columbia",796900,1020094,23336583,13300000,192712,Darn That Dream,10 October 1917,17 February 1982,https://www.last.fm/music/Thelonious+Monk,https://en.wikipedia.org/wiki/Thelonious_Monk,https://www.deezer.com/us/artist/5136,https://open.spotify.com/artist/4PDpGtF16XpqvXxsrFwQnN
Red Garland,Piano,1940s,1984,"Jazz, straight-ahead jazz, bebop, hard bop",Prestige,125100,442522,14191914,995100,17089,Endless Sky,13 May 1923,23 April 1984,https://www.last.fm/music/Red+Garland,https://en.wikipedia.org/wiki/Red_Garland,https://www.deezer.com/us/artist/74588,https://open.spotify.com/artist/35iymrFS4VnsKn35ebHKX9
Dave Brubeck,Piano,1940s,2012,"Jazz, cool jazz, West Coast jazz, third stream","Fantasy Records, Columbia, Legacy, Sony, Decca, Atlantic, A&M, Concord, MusicMasters, Telarc, Naxos",667100,1839230,7332837,7900000,155858,Out Of Mind,6 December 1920,5 December 2012,https://www.last.fm/music/Dave+Brubeck,https://en.wikipedia.org/wiki/Dave_Brubeck,https://www.deezer.com/us/artist/4080,https://open.spotify.com/artist/3kUKwTJdH8FuWzF8p6Dg9E
George Russell,Piano,,,Jazz,,19400,4168,3792,139200,400,Night Ballad Songs,23 June 1923,27 July 2009,https://www.last.fm/music/George+Russell,https://en.wikipedia.org/wiki/George_Russell_(composer),https://www.deezer.com/us/artist/79371,https://open.spotify.com/artist/1CkthcIyaPjnbHLcwhbU7c
